scheme_code,scheme_name,fund_house,cagr_1y,cagr_5y,cagr_5y_missing,max_drawdown,expense_ratio,aum_cr,fund_age_years,category_group,sharpe_3y,top_half_performer
100363,ICICI Prudential Technology Fund - Growth,ICICI Prudential Mutual Fund,-0.0390340222244202,0.0531556370585692,0,-0.7016666666666667,1.72,7524,20.344969199178646,Equity,0.1056870300012412,0
100377,Nippon India Growth Mid Cap Fund-Growth Plan-Growth Option,Nippon India Mutual Fund,0.1227241814412569,0.1902007048593905,0,-0.6265177189409369,1.54,17100,20.34223134839151,Equity,0.7656666295486381,1
100651,UTI Large Cap Fund - Regular Plan - Growth Option,UTI Mutual Fund,0.006075606872838,0.0820560945238861,0,-0.5555945898471808,1.25,22600,20.34223134839151,Equity,0.1423118228405194,0
101042,Tata Gilt Securities Fund -Regular Plan- Growth Option,Tata Mutual Fund,0.0298617711910622,0.0538901197985079,0,-1.0,0.73,12524,20.34223134839151,Debt,0.000133941523806,0
101862,Nippon India Banking & Financial Services Fund-Growth Plan-Growth Option,Nippon India Mutual Fund,0.0578316034763528,0.1347535133912798,0,-0.5742112715944492,1.65,4164,20.34223134839151,Equity,0.2868763242571015,0
102395,UTI Infrastructure Fund-Growth Option,UTI Mutual Fund,0.0543480672498311,0.1470194101597133,0,-0.6203155818540433,1.7,6780,20.34223134839151,Equity,0.4519360170073162,0
102913,CANARA ROBECO SAVINGS FUND - REGULAR PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,0.0599478166070863,0.0610455450462774,0,-0.0145794667186297,0.71,11780,20.347707049965777,Debt,1.7161822616671174,1
103168,Aditya Birla Sun Life Digital India Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,-0.0211211872922635,0.0533551018303688,0,-0.6614690192860073,1.73,7992,20.34223134839151,Equity,0.0157985898974725,0
104637,Nippon India Focused Fund -Growth Plan -Growth Option,Nippon India Mutual Fund,0.052440399617444,0.1156014117756061,0,-0.6214156677905862,1.36,12345,19.60848733744011,Equity,0.313618371101137,0
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,LIC Mutual Fund,0.0497813659603902,0.0581389756635393,0,-1.0,0.6,4916,19.184120465434635,Debt,0.0231283829234191,0
108594,BANDHAN Flexi Cap Fund - Regular Plan - Growth,Bandhan Mutual Fund,0.0493637989334769,0.1099472726088712,0,-0.4550655773473296,1.49,32950,18.17659137577002,Equity,0.4455928400074638,0
108799,BANDHAN Large Cap Fund - Regular Plan - Growth,Bandhan Mutual Fund,0.0566431234883988,0.1155066964202571,0,-0.4381892397783908,1.39,40175,18.171115674195757,Equity,0.3819591659844517,0
110601,BANK OF INDIA Large & Mid Cap Fund Eco Plan-Bonus,Bank of India Mutual Fund,0.1095625426288668,0.1264105023345236,0,-0.3842877425461429,1.51,15375,17.76865160848734,Equity,0.4861464318318576,0
111569,BANDHAN ELSS Tax Saver Fund - Regular Plan - Growth,Bandhan Mutual Fund,0.0602760626486544,0.1197454062736569,0,-0.4410916068048638,1.45,9228,17.60164271047228,Equity,0.2727066128330712,0
113099,SBI PSU Fund - REGULAR PLAN -Growth,SBI Mutual Fund,0.1172507923592769,0.2307087682950095,0,-0.4806806282722513,1.75,8868,16.0684462696783,Equity,0.93411354377426,1
117716,Kotak Credit Risk Fund - Growth,Kotak Mahindra Mutual Fund,0.0708483260139234,0.058890917412109,0,-0.0399404022398675,0.58,3704,14.075290896646132,Debt,0.9733890487726696,0
118419,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,Bandhan Mutual Fund,0.0890762408935259,0.1799548019924834,0,-0.3854246365723029,1.45,11850,13.59069130732375,Equity,0.89983059714285,1
118525,Franklin India Small Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,0.0862077672437793,0.1759973642268866,0,-0.4991771356141838,1.51,6276,13.593429158110883,Equity,0.626343254472361,1
118539,Franklin India Opportunities Fund - Direct - Growth,Franklin Templeton Mutual Fund,0.0864608407862521,0.1989599405396485,0,-0.3934496056683366,1.73,7800,13.593429158110883,Equity,1.0636458615405582,1
118702,Nippon India Low Duration Fund - Direct Plan Growth Plan - Bonus Option,Nippon India Mutual Fund,0.0650634881163956,0.0673248431402249,0,-0.1048452609146378,0.61,5312,13.574264202600958,Debt,0.4980813173875161,0
118759,Nippon India Pharma Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,0.1431264954575579,0.137818104665726,0,-0.2402380764064089,1.75,9000,13.59069130732375,Equity,0.8447797058524763,1
119226,DSP Short Term Fund - Direct Plan - Growth,DSP Mutual Fund,0.0567472740908594,0.0640139460414501,0,-0.0275166239912559,0.66,8300,13.59069130732375,Debt,1.1065107871386912,1
119581,Sundaram Mid Cap Fund Direct Plan - Growth,Sundaram Mutual Fund,0.1259173953870447,0.1903899927390957,0,-0.4430830626694854,1.43,10995,13.59069130732375,Equity,0.9589614393746096,1
119597,Sundaram Financial Services Opportunities Fund Direct Plan - Growth,Sundaram Mutual Fund,0.1083831474922425,0.1545156117809691,0,-0.4322333380191493,1.69,6204,13.59069130732375,Equity,0.4471729467232815,0
119605,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,0.02421666777187,0.0561820803947219,0,-0.1080854920323238,0.62,6164,13.59069130732375,Debt,0.0272693057506647,0
120381,ICICI Prudential MidCap Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund,0.1771572042100928,0.1845107528694569,0,-0.4403892944038928,1.46,12750,13.59069130732375,Equity,1.0519633176178134,1
120488,JM Focused Fund (Direct)  - Growth Option,JM Financial Mutual Fund,0.0940929750776682,0.1554280578472755,0,-0.3737484953952096,1.44,18300,13.59069130732375,Equity,0.499352231443546,0
120505,Axis Midcap Fund - Direct Plan - Growth,Axis Mutual Fund,0.1027345295957264,0.1493461353494067,0,-1.0,1.6,20970,13.59069130732375,Equity,0.3971178031471196,0
120665,UTI Large & Mid Cap Fund - Direct Plan - Growth Option,UTI Mutual Fund,0.0815102469914614,0.1564350073228013,0,-0.4149770040511521,1.44,11265,13.59069130732375,Equity,0.7506975478510348,1
120762,UTI Dynamic Bond Fund - Direct Plan - Growth Option,UTI Mutual Fund,0.0526321341138982,0.0968577933891825,0,-0.0813032196593016,0.68,10064,13.59069130732375,Debt,0.380547313519387,0
121279,Bandhan Banking and PSU Fund - Direct Growth,Bandhan Mutual Fund,0.0607476062865481,0.0633639936026155,0,-0.0328664455092763,0.66,8312,13.412731006160165,Debt,0.8937446678252843,0
129213,Sundaram Infrastructure Advantage Fund Regular Plan - Growth,Sundaram Mutual Fund,0.0871515811326646,0.1680612433492065,0,-0.5129243257332224,1.84,13440,12.331279945242985,Equity,0.6735919759530388,1
130722,Invesco India Credit Risk Fund - Direct Plan - Growth,Invesco Mutual Fund,0.0837024457425621,0.0854449681833959,0,-0.079551129013192,0.57,3248,11.90965092402464,Debt,1.3006213561630515,1
